id,name,HP,attack,defense,sp. attack,sp. defense,speed,species,description,height,weight,gender,thumbnail,type_fire,type_water,type_electric,type_grass,type_ice,type_fighting,type_poison,type_ground,type_flying,type_psychic,type_bug,type_rock,type_ghost,type_dragon,type_dark,type_steel,type_fairy
127,"Pinsir",65,125,100,55,70,85,"Stag Beetle Pokémon","Although it’s tough, it can’t handle cold well. When night falls, it buries itself in leafage and sleeps.","1.5 m","55 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/127.png",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,"Tauros",75,100,95,40,70,110,"Wild Bull Pokémon","The climate seems to be related to the reason Tauros in Alola are a little calmer than those in other regions.","1.4 m","88.4 kg","100:0","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/128.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"Magikarp",20,10,55,15,20,80,"Fish Pokémon","Thanks to their strong hold on life, dirty water doesn’t bother them at all. They live in waters all over the world!","0.9 m","10 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/129.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,"Gyarados",95,125,79,60,100,81,"Atrocious Pokémon","The energy from evolution stimulated its brain cells strongly, causing it to become very ferocious.","6.5 m","235 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/130.png",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,"Lapras",130,85,80,85,95,60,"Transport Pokémon","They’ve been so cherished that there’s now an overabundance. The fish Pokémon population has declined in waters with too many Lapras.","2.5 m","220 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/131.png",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
132,"Ditto",48,48,48,48,48,48,"Transform Pokémon","It transforms into whatever it sees. If the thing it’s transforming into isn’t right in front of it, Ditto relies on its memory—so sometimes it fails.","0.3 m","4 kg","Genderless","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/132.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"Eevee",55,55,50,45,65,55,"Evolution Pokémon","Its genes are easily influenced by its surroundings. Even its face starts to look like that of its Trainer.","0.3 m","6.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/133.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"Vaporeon",130,65,60,110,95,65,"Bubble Jet Pokémon","It detects nearby moisture with its fin. When its fin begins trembling rapidly, that means rain will fall in a few hours.","1 m","29 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/134.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"Jolteon",65,65,60,110,95,130,"Lightning Pokémon","Its fur stands on end, becoming like needles it fires at enemies. Once they’re weakened, it finishes them off with a 10,000 volt shock.","0.8 m","24.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/135.png",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"Flareon",65,130,60,95,110,65,"Flame Pokémon","The flame chamber inside its body ignites when Flareon gets agitated, reaching temperatures of up to 1,650 degrees Fahrenheit.","0.9 m","25 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/136.png",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,"Porygon",65,60,70,85,75,40,"Virtual Pokémon","It was built 20 years ago by scientists who dreamed of exploring space. Their dreams have yet to come true.","0.8 m","36.5 kg","Genderless","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/137.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,"Omanyte",35,40,100,90,55,35,"Spiral Pokémon","It was restored from an ancient fossil. Those Helix Fossils are excavated from areas that were once oceans long, long ago.","0.4 m","7.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/138.png",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
139,"Omastar",70,60,125,115,70,55,"Spiral Pokémon","It wraps its prey in its tentacles to immobilize them and then finishes them off with its sharp fangs.","1 m","35 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/139.png",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140,"Kabuto",30,80,90,55,45,55,"Shellfish Pokémon","This Pokémon became extinct everywhere, except in a few areas. It protects itself with its hard shell.","0.5 m","11.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/140.png",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,"Kabutops",60,115,105,65,70,80,"Shellfish Pokémon","It swims at speeds of roughly 29 knots, quickly closing in on its prey and slashing into them with its scythes to finish them off.","1.3 m","40.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/141.png",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
142,"Aerodactyl",80,105,65,60,75,130,"Fossil Pokémon","It flew through the open skies over the ancient continent as if they were its own. When it touched ground, its walk was weak and slow.","1.8 m","59 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/142.png",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
143,"Snorlax",160,110,65,65,110,30,"Sleeping Pokémon","It has no interest in anything other than eating. Even if you climb up on its stomach while it’s napping, it doesn’t seem to mind at all!","2.1 m","460 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/143.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"Articuno",90,85,100,95,125,85,"Freeze Pokémon","Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.","1.7 m","55.4 kg","Genderless","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/144.png",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
145,"Zapdos",90,90,85,125,90,100,"Electric Pokémon","Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.","1.6 m","52.6 kg","Genderless","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/145.png",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
146,"Moltres",90,100,90,125,85,90,"Flame Pokémon","Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.","2 m","60 kg","Genderless","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/146.png",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,"Dratini",41,64,45,50,50,50,"Dragon Pokémon","It sheds its skin—almost on a daily basis—and grows larger. Its skin is soft just after it’s been shed.","1.8 m","3.3 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/147.png",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,"Dragonair",61,84,65,70,70,70,"Dragon Pokémon","Some say that if you see it at the start of the year, flying through the sky and twisting its body, you’ll be healthy all year long.","4 m","16.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/148.png",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
149,"Dragonite",91,134,95,100,100,80,"Dragon Pokémon","You’ll often hear tales of this kindhearted Pokémon rescuing people or Pokémon that are drowning.","2.2 m","210 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/149.png",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
150,"Mewtwo",106,110,90,154,90,130,"Genetic Pokémon","Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon’s body, they failed to endow Mewtwo with a compassionate heart.","2 m","122 kg","Genderless","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/150.png",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,"Mew",100,100,100,100,100,100,"New Species Pokémon","Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.","0.4 m","4 kg","Genderless","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/151.png",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
152,"Chikorita",45,49,65,49,65,45,"Leaf Pokémon","In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.","0.9 m","6.4 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/152.png",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,"Bayleef",60,62,80,63,80,60,"Leaf Pokémon","Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.","1.2 m","15.8 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/153.png",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,"Meganium",80,82,100,83,100,80,"Herb Pokémon","The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.","1.8 m","100.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/154.png",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,"Cyndaquil",39,52,43,60,50,65,"Fire Mouse Pokémon","Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.","0.5 m","7.9 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/155.png",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,"Quilava",58,64,58,80,65,80,"Volcano Pokémon","Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.","0.9 m","19 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/156.png",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,"Typhlosion",78,84,78,109,85,100,"Volcano Pokémon","Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.","1.7 m","79.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/157.png",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,"Totodile",50,65,64,44,48,43,"Big Jaw Pokémon","Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.","0.6 m","9.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/158.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,"Croconaw",65,80,80,59,63,58,"Big Jaw Pokémon","Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.","1.1 m","25 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/159.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,"Feraligatr",85,105,100,79,83,78,"Big Jaw Pokémon","Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.","2.3 m","88.8 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/160.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,"Sentret",35,46,34,35,45,20,"Scout Pokémon","When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.","0.8 m","6 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/161.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,"Furret",85,76,64,45,55,90,"Long Body Pokémon","Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.","1.8 m","32.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/162.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,"Hoothoot",60,30,30,36,56,50,"Owl Pokémon","It cries out at the same time every day. A long time ago, people cherished it and considered it a divine messenger sent to tell the time.","0.7 m","21.2 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/163.png",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
164,"Noctowl",100,50,50,86,96,70,"Owl Pokémon","When it turns its head entirely upside down, you know it’s troubled by something. If you don’t leave it be, it will peck you.","1.6 m","40.8 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/164.png",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
165,"Ledyba",40,20,30,40,80,55,"Five Star Pokémon","These very cowardly Pokémon join together and use Reflect to protect their nest.","1 m","10.8 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/165.png",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
166,"Ledian",55,35,50,55,110,85,"Five Star Pokémon","It flies through the night sky, sprinkling sparkly dust. According to some, if that dust sticks to you, good things will happen to you.","1.4 m","35.6 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/166.png",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
167,"Spinarak",40,60,40,40,40,30,"String Spit Pokémon","Although the poison from its fangs isn’t that strong, it’s potent enough to weaken prey that gets caught in its web.","0.5 m","8.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/167.png",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
168,"Ariados",70,90,70,60,70,40,"Long Leg Pokémon","It spews threads from its mouth to catch its prey. When night falls, it leaves its web to go hunt aggressively.","1.1 m","33.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/168.png",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
169,"Crobat",85,90,80,70,80,130,"Bat Pokémon","It feeds on the blood of living people and Pokémon. If it can’t drink any blood for even a short while, it becomes weak and unable to fly.","1.8 m","75 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/169.png",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
170,"Chinchou",75,38,38,56,56,67,"Angler Pokémon","Chinchou blink their shining antennae at one another to claim their respective turf.","0.5 m","12 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/170.png",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,"Lanturn",125,58,58,76,76,67,"Light Pokémon","It lives far down in the depths of the ocean. It blinds its prey with light, using the moment they’re dazzled to swallow them whole.","1.2 m","22.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/171.png",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,"Pichu",20,40,15,35,35,60,"Tiny Mouse Pokémon","It has electric sacs in its cheeks. When they’re fully charged, Pichu plays very energetically.","0.3 m","2 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/172.png",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,"Cleffa",50,25,28,45,55,15,"Star Shape Pokémon","Said to have ridden here on a shooting star, Cleffa seem to appear in places where meteorites have struck in the past.","0.3 m","3 kg","25:75","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/173.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,"Igglybuff",90,30,15,40,20,15,"Balloon Pokémon","Left to its own devices, it will constantly practice singing. You should make it take a break so it doesn’t hurt its throat.","0.3 m","1 kg","25:75","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/174.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,"Togepi",35,20,65,40,65,20,"Spike Ball Pokémon","As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.","0.3 m","1.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/175.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,"Togetic",55,40,85,80,105,40,"Happiness Pokémon","Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.","0.6 m","3.2 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/176.png",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
177,"Natu",40,50,45,70,45,70,"Tiny Bird Pokémon","The look in its eyes gives the impression that it’s carefully observing you. If you approach it, Natu will hop away.","0.2 m","2 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/177.png",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
178,"Xatu",65,75,70,95,70,95,"Mystic Pokémon","While it can see the future, it has no desire to change it, which is probably why it remains motionless at all times.","1.5 m","15 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/178.png",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
179,"Mareep",55,40,40,65,45,35,"Wool Pokémon","Rubbing its fleece generates electricity. You’ll want to pet it because it’s cute, but if you use your bare hand, you’ll get a painful shock.","0.6 m","7.8 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/179.png",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"Flaaffy",70,55,55,80,60,45,"Wool Pokémon","It stores electricity in its fluffy fleece. If it stores up too much, it will start to go bald in those patches.","0.8 m","13.3 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/180.png",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"Ampharos",90,75,85,115,90,55,"Light Pokémon","Its tail shines bright and strong. It has been prized since long ago as a beacon for sailors.","1.4 m","61.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/181.png",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"Bellossom",75,80,95,90,100,50,"Flower Pokémon","A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep.","0.4 m","5.8 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/182.png",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"Marill",70,20,50,20,50,40,"Aqua Mouse Pokémon","When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.","0.4 m","8.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/183.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,"Azumarill",100,50,80,60,80,50,"Aqua Rabbit Pokémon","Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.","0.8 m","28.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/184.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,"Sudowoodo",70,100,115,30,65,30,"Imitation Pokémon","The result of its holding the same pose all the time is arms that have become supple yet strong.","1.2 m","38 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/185.png",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
186,"Politoed",90,75,75,90,100,70,"Frog Pokémon","The longer and more luxurious the curled hair on its head, the greater the number of Poliwag and Poliwhirl that will obey it.","1.1 m","33.9 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/186.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,"Hoppip",35,35,40,35,55,50,"Cottonweed Pokémon","This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.","0.4 m","0.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/187.png",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
188,"Skiploom",55,45,50,45,65,80,"Cottonweed Pokémon","Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.","0.6 m","1 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/188.png",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
189,"Jumpluff",75,55,70,55,95,110,"Cottonweed Pokémon","Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.","0.8 m","3 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/189.png",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
190,"Aipom",55,70,55,40,55,85,"Long Tail Pokémon","It searches for prey from the tops of trees. When it spots its favorite food, Bounsweet, Aipom gets excited and pounces.","0.8 m","11.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/190.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,"Sunkern",30,30,30,30,30,30,"Seed Pokémon","Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.","0.3 m","1.8 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/191.png",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,"Sunflora",75,75,55,105,85,30,"Sun Pokémon","Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.","0.8 m","8.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/192.png",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,"Yanma",65,65,45,75,45,95,"Clear Wing Pokémon","Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.","1.2 m","38 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/193.png",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
194,"Wooper",55,45,45,25,25,15,"Water Fish Pokémon","Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.","0.4 m","8.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/194.png",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,"Quagsire",95,85,85,65,65,35,"Water Fish Pokémon","Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.","1.4 m","75 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/195.png",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,"Espeon",65,65,60,130,95,110,"Sun Pokémon","Psychic power builds up in the orb on its forehead as it bathes in the sunshine. Espeon is not good at battling at night.","0.9 m","26.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/196.png",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197,"Umbreon",95,65,110,60,130,65,"Moonlight Pokémon","It lurks in the dark of night looking for prey. At the moment it pounces, the rings on its body glow dimly but ominously.","1 m","27 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/197.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198,"Murkrow",60,85,42,85,42,91,"Darkness Pokémon","It searches for shiny things for its boss. Murkrow’s presence is said to be unlucky, so many people detest it.","0.5 m","2.1 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/198.png",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
199,"Slowking",95,75,80,100,110,30,"Royal Pokémon","It’s called “the sage of the sea.” It engages in battles of wits with Oranguru, but the result is usually a draw.","2 m","79.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/199.png",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
200,"Misdreavus",60,60,60,85,85,85,"Screech Pokémon","What makes it happy is imitating the voices of weeping people and scaring everyone. It doesn’t deal well with folks who aren’t easily frightened.","0.7 m","1 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/200.png",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201,"Unown",48,72,48,72,48,48,"Symbol Pokémon","This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.","0.5 m","5 kg","Genderless","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/201.png",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,"Wobbuffet",190,33,58,33,58,33,"Patient Pokémon","Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond.","1.3 m","28.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/202.png",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
